id_mpio_postal;zona_postal;codigo_postal;id_mpio
1131;9900;990009;99001
1132;1120;112031;11001
1133;2750;275030;27077
1134;9430;943058;94888
1135;554;55427;5266
1136;5460;546070;54003
1137;2710;271030;27413
1138;4750;475037;47555
1139;2500;250077;25740
1140;7300;730005;73001
1141;1760;176028;17174
1142;8130;813017;81591
1143;1542;154201;15051
1144;4410;441039;44847
1145;1111;111131;11001
1146;5070;507021;50689
1147;6810;681007;68276
1148;6815;681561;68266
1149;7340;734068;73873
1150;9400;940007;94001
1151;514;51450;5501
1152;2526;252638;25245
1153;2740;274018;27361
1154;2325;232558;23660
1155;2516;251620;25181
1156;2020;202017;20621
1157;1506;150667;15839
1158;4110;411007;41016
1159;2740;274039;27450
1160;6820;682017;68432
1161;2538;253827;25823
1162;9400;940027;94001
1163;2512;251217;25322
1164;6870;687068;68575
1165;1345;134527;13042
1166;514;51447;5761
1167;5220;522088;52254
1168;558;55827;5347
1169;5285;528519;52835
1170;4100;410017;41001
1171;7645;764504;76109
1172;1116;111611;11001
1173;7030;703037;70771
1174;2500;250054;25754
1175;578;57820;5051
1176;4160;416047;41319
1177;5225;522501;52411
1178;6805;680531;68867
1179;6620;662030;66383
1180;2502;250247;25126
1181;1910;191039;19698
1182;1335;133567;13580
1183;5240;524060;52356
1184;2526;252630;25245
1185;1950;195009;19100
1186;4150;415027;41483
1187;1300;130012;13001
1188;4110;411028;41872
1189;1516;151660;15790
1190;5440;544058;54743
1191;1300;130013;13001
1192;5240;524030;52560
1193;2030;203060;20228
1194;1534;153457;15879
1195;4770;477050;47551
1196;5200;520019;52001
1197;2536;253608;25658
1198;2030;203048;20178
1199;528;52847;5031
1200;7620;762021;76147
1201;2700;270077;27425
1202;500;50012;5001
1203;5030;503067;50590
1204;2508;250827;25807
1205;574;57418;5172
1206;2530;253020;25123
1207;2528;252850;25001
1208;5030;503021;50325
1209;500;50010;5001
1210;540;54050;5318
1211;5220;522087;52254
1212;4180;418001;41503
1213;4450;445040;44420
1214;7600;760034;76001
1215;5255;525558;52720
1216;2518;251808;25178
1217;2536;253650;25862
1218;5465;546557;54498
1219;7040;704037;70708
1220;2514;251401;25530
1221;7615;761517;76054
1222;554;55460;5380
1223;1740;174007;17662
1224;5010;501057;50686
1225;5270;527068;52405
1226;2730;273030;27205
1227;5250;525047;52612
1228;1300;130018;13001
1229;5215;521540;52687
1230;2502;250217;25260
1231;5255;525501;52320
1232;2528;252810;25368
1233;830;83087;8520
1234;5230;523067;52352
1235;4170;417079;41006
1236;578;57817;5659
1237;5465;546559;54498
1238;6845;684517;68077
1239;4730;473001;47692
1240;5275;527527;52250
1241;7310;731001;73030
1242;4770;477001;47745
1243;6870;687047;68081
1244;4430;443040;44078
1245;1300;130019;13001
